GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC05
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher
0400000US01,01,Alabama,412216,6.9
0400000US02,02,Alaska,66617,4.1
0400000US04,04,Arizona,552596,6.4
0400000US05,05,Arkansas,251855,6.5
0400000US06,06,California,3324585,8.0
0400000US08,08,Colorado,421308,10.4
0400000US09,09,Connecticut,263296,14.3
0400000US10,10,Delaware,72045,10.9
0400000US11,11,District of Columbia,31647,35.7
0400000US12,12,Florida,1484879,7.5
0400000US13,13,Georgia,836298,8.1
0400000US15,15,Hawaii,110670,7.4
0400000US16,16,Idaho,145667,4.8
0400000US17,17,Illinois,1128884,11.7
0400000US18,18,Indiana,543633,8.3
0400000US19,19,Iowa,267597,11.6
0400000US20,20,Kansas,265344,9.7
0400000US21,21,Kentucky,366717,7.4
0400000US22,22,Louisiana,457260,6.3
0400000US23,23,Maine,107918,8.8
0400000US24,24,Maryland,480039,12.7
0400000US25,25,Massachusetts,488929,16.9
0400000US26,26,Michigan,898593,9.1
0400000US27,27,Minnesota,470955,10.8
0400000US28,28,Mississippi,283126,6.1
0400000US29,29,Missouri,531162,9.5
0400000US30,30,Montana,87375,8.3
0400000US31,31,Nebraska,168208,10.0
0400000US32,32,Nevada,207553,5.7
0400000US33,33,New Hampshire,101892,10.6
0400000US34,34,New Jersey,699985,13.7
0400000US35,35,New Mexico,191901,4.4
0400000US36,36,New York,1589003,14.4
0400000US37,37,North Carolina,710135,9.3
0400000US38,38,North Dakota,60367,9.3
0400000US39,39,Ohio,996737,9.0
0400000US40,40,Oklahoma,340328,6.5
0400000US41,41,Oregon,328830,7.5
0400000US42,42,Pennsylvania,998916,12.1
0400000US44,44,Rhode Island,82905,14.6
0400000US45,45,South Carolina,368452,9.2
0400000US46,46,South Dakota,74055,7.7
0400000US47,47,Tennessee,520118,8.0
0400000US48,48,Texas,2198019,6.8
0400000US49,49,Utah,300588,5.7
0400000US50,50,Vermont,50475,9.9
0400000US51,51,Virginia,653755,11.7
0400000US53,53,Washington,594212,7.8
0400000US54,54,West Virginia,152025,6.9
0400000US55,55,Wisconsin,505966,9.8
0400000US56,56,Wyoming,50054,6.9
