GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC05
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher
0400000US01,01,Alabama,457308,6.8
0400000US02,02,Alaska,80541,5.6
0400000US04,04,Arizona,592375,6.5
0400000US05,05,Arkansas,271495,6.1
0400000US06,06,California,3837832,8.1
0400000US08,08,Colorado,465672,9.2
0400000US09,09,Connecticut,323691,12.0
0400000US10,10,Delaware,85197,8.4
0400000US11,11,District of Columbia,73700,27.5
0400000US12,12,Florida,1620491,7.6
0400000US13,13,Georgia,943027,7.4
0400000US15,15,Hawaii,123899,8.1
0400000US16,16,Idaho,145454,5.7
0400000US17,17,Illinois,1299405,11.2
0400000US18,18,Indiana,615460,8.0
0400000US19,19,Iowa,301887,9.0
0400000US20,20,Kansas,288965,8.1
0400000US21,21,Kentucky,396019,6.5
0400000US22,22,Louisiana,471850,5.8
0400000US23,23,Maine,115309,8.3
0400000US24,24,Maryland,546281,12.3
0400000US25,25,Massachusetts,648229,15.7
0400000US26,26,Michigan,974483,7.9
0400000US27,27,Minnesota,508801,10.3
0400000US28,28,Mississippi,313464,5.3
0400000US29,29,Missouri,568575,8.5
0400000US30,30,Montana,96791,6.1
0400000US31,31,Nebraska,187864,10.6
0400000US32,32,Nevada,214934,5.3
0400000US33,33,New Hampshire,121249,9.3
0400000US34,34,New Jersey,772226,12.7
0400000US35,35,New Mexico,205342,4.5
0400000US36,36,New York,1981307,13.1
0400000US37,37,North Carolina,888241,8.8
0400000US38,38,North Dakota,83303,8.4
0400000US39,39,Ohio,1084374,8.9
0400000US40,40,Oklahoma,375557,6.5
0400000US41,41,Oregon,335249,8.2
0400000US42,42,Pennsylvania,1209271,10.4
0400000US44,44,Rhode Island,112859,11.3
0400000US45,45,South Carolina,440274,7.6
0400000US46,46,South Dakota,87110,7.1
0400000US47,47,Tennessee,562932,6.9
0400000US48,48,Texas,2438613,6.9
0400000US49,49,Utah,331183,5.6
0400000US50,50,Vermont,62223,10.8
0400000US51,51,Virginia,784175,10.9
0400000US53,53,Washington,603679,7.8
0400000US54,54,West Virginia,163121,6.9
0400000US55,55,Wisconsin,554360,8.9
0400000US56,56,Wyoming,55168,8.0
