"Year","State","Population","Violent.crime.total","Murder.and.nonnegligent.Manslaughter","Legacy.rape..1","Revised.rape..2","Robbery","Aggravated.assault","Law","povert_rate","Employ","Fips","unempl_rate","Type","Gallons.of.ethanol","Dummy"
1960,"Alabama",3266740,6097,406,281,NA,898,4512,0,NA,NA,NA,NA,NA,NA,0
1961,"Alabama",3302000,5564,427,252,NA,630,4255,0,NA,NA,NA,NA,NA,NA,0
1962,"Alabama",3358000,5283,316,218,NA,754,3995,0,NA,NA,NA,NA,NA,NA,0
1963,"Alabama",3347000,6115,340,192,NA,828,4755,0,NA,NA,NA,NA,NA,NA,0
1964,"Alabama",3407000,7260,316,397,NA,992,5555,0,NA,NA,NA,NA,NA,NA,0
1965,"Alabama",3462000,6916,395,367,NA,992,5162,0,NA,NA,NA,NA,NA,NA,0
1966,"Alabama",3517000,8098,384,341,NA,1124,6249,0,NA,NA,NA,NA,NA,NA,0
1967,"Alabama",3540000,8448,415,371,NA,1167,6495,0,NA,NA,NA,NA,NA,NA,0
1968,"Alabama",3566000,8288,421,396,NA,1462,6009,0,NA,NA,NA,NA,NA,NA,0
1969,"Alabama",3531000,8842,485,494,NA,1448,6415,0,NA,NA,NA,NA,NA,NA,0
1970,"Alabama",3444165,10185,404,637,NA,1731,7413,0,NA,NA,NA,NA,"Beer",14.8941,0
1971,"Alabama",3479000,10835,524,661,NA,2005,7645,0,NA,NA,NA,NA,"Beer",16.9191,0
1972,"Alabama",3510000,10994,496,660,NA,2407,7431,0,NA,NA,NA,NA,"Beer",19.22355,0
1973,"Alabama",3539000,12390,468,751,NA,2809,8362,0,NA,NA,NA,NA,"Beer",20.79135,0
1974,"Alabama",3577000,13338,536,811,NA,3562,8429,0,NA,NA,NA,NA,"Beer",22.39605,0
1975,"Alabama",3614000,14201,577,738,NA,4446,8440,0,NA,NA,NA,NA,"Beer",23.9562,0
1976,"Alabama",3665000,14248,553,794,NA,3520,9381,0,NA,NA,NA,NA,"Beer",24.7464,0
1977,"Alabama",3690000,15293,524,929,NA,3572,10268,0,NA,NA,NA,NA,"Beer",28.04265,0
1978,"Alabama",3742000,15682,499,954,NA,3708,10521,0,NA,NA,NA,NA,"Beer",28.22625,0
1979,"Alabama",3769000,15578,496,1037,NA,4127,9918,0,NA,NA,NA,NA,"Beer",28.79955,0
1980,"Alabama",3861466,17320,509,1158,NA,5102,10551,0,NA,15.2113083333333,"01000",8.9,"Beer",28.89405,0
1981,"Alabama",3916000,18423,465,1021,NA,4952,11985,0,NA,15.0042091666667,"01000",10.6,"Beer",30.42225,0
1982,"Alabama",3943000,17653,417,1026,NA,4417,11793,0,NA,14.74267,"01000",14.1,"Beer",30.67695,0
1983,"Alabama",3959000,16471,364,931,NA,3895,11281,0,NA,15.1430233333333,"01000",13.8,"Beer",31.31865,0
1984,"Alabama",3990000,17204,374,1002,NA,3833,11995,0,NA,15.9138741666667,"01000",11,"Beer",32.12034,0
1985,"Alabama",4021000,18398,396,1079,NA,4237,12686,0,NA,16.3788658333333,"01000",9.2,"Beer",33.60111,0
1986,"Alabama",4053000,22616,409,1150,NA,4523,16534,0,NA,16.804635,"01000",9.7,"Beer",34.85178,0
1987,"Alabama",4083000,22833,380,1137,NA,4581,16735,0,NA,17.1815475,"01000",8.1,"Beer",35.4285,0
1988,"Alabama",4127000,23052,408,1228,NA,4860,16556,0,NA,17.4244516666667,"01000",7.2,"Beer",35.8491,0
1989,"Alabama",4118000,24329,421,1276,NA,5515,17117,0,17.7,17.6293508333333,"01000",7,"Beer",35.99537,0
1990,"Alabama",4040587,28630,467,1319,NA,5805,21039,0,NA,17.7760816666667,"01000",6.8,"Beer",36.40477,0
1991,"Alabama",4089000,34518,469,1455,NA,6246,26348,0,NA,17.7988483333333,"01000",7.3,"Beer",32.81444,0
1992,"Alabama",4136000,36052,455,1704,NA,6819,27074,0,NA,18.1634991666667,"01000",7.6,"Beer",33.8364,0
1993,"Alabama",4187000,32676,484,1471,NA,6677,24044,0,18.8,18.5678333333333,"01000",7.3,"Beer",38.42103,0
1994,"Alabama",4219000,28844,501,1487,NA,7223,19633,0,NA,19.0076283333333,"01000",6.2,"Beer",39.76118,0
1995,"Alabama",4253000,26894,475,1350,NA,7900,17169,0,17.6,19.440185,"01000",6,"Beer",39.14579,0
1996,"Alabama",4273000,24159,444,1397,NA,7124,15194,0,16.7,19.7753541666667,"01000",5.2,"Beer",40.87886,0
1997,"Alabama",4319000,24379,426,1396,NA,6931,15626,0,16.2,20.2714658333333,"01000",5,"Beer",39.96299,0
1998,"Alabama",4352000,22286,354,1443,NA,5698,14791,0,15.7,20.4282991666667,"01000",4.4,"Beer",41.28543,0
1999,"Alabama",4369862,21421,345,1513,NA,5297,14266,0,15.3,20.3898958333333,"01000",4.7,"Beer",42.22267,0
2000,"Alabama",4447100,21620,329,1482,NA,5702,14107,0,14.6,20.3556591666667,"01000",4.6,"Beer",42.53869,0
2001,"Alabama",4468912,19582,379,1369,NA,5584,12250,0,15.7,20.0660191666667,"01000",5.1,"Beer",41.80165,0
2002,"Alabama",4478896,19931,303,1664,NA,5962,12002,0,15.4,19.8236683333333,"01000",5.9,"Beer",42.62945,0
2003,"Alabama",4503726,19331,299,1656,NA,6038,11338,0,15.3,19.9255983333333,"01000",6,"Beer",43.3845,0
2004,"Alabama",4525375,19324,254,1742,NA,6042,11286,0,16.1,20.14613,"01000",5.7,"Beer",43.8309,0
2005,"Alabama",4548327,19678,374,1564,NA,6447,11293,0,16.9,20.4986033333333,"01000",4.5,"Beer",43.8588,0
2006,"Alabama",4599030,19553,382,1646,NA,7062,10463,0,16.6,20.8032183333333,"01000",4,"Beer",45.5049,0
2007,"Alabama",4627851,20775,412,1548,NA,7398,11417,0,16.6,20.890585,"01000",4,"Beer",46.83015,0
2008,"Alabama",4661900,21110,351,1618,NA,7346,11795,0,15.9,20.531035,"01000",5.7,"Beer",47.151,0
2009,"Alabama",4708708,21194,322,1504,NA,6265,13103,0,17.5,19.2577183333333,"01000",11,"Beer",46.1187,0
2010,"Alabama",4785401,18363,275,1355,NA,4864,11869,0,18.9,19.6469433333333,"01000",10.5,"Beer",45.82575,0
2011,"Alabama",4803689,20166,299,1370,NA,4906,13591,0,19.1,19.9056991666667,"01000",9.6,"Beer",45.5607,0
2012,"Alabama",4817528,21693,342,1296,NA,5020,15035,0,19,20.0411675,"01000",8,"Beer",46.035,0
2013,"Alabama",4833996,20834,346,1449,2055,4645,13788,0,18.9,20.1726708333333,"01000",7.2,"Beer",45.2538,0
2014,"Alabama",4849377,20727,276,1436,2005,4701,13745,0,19.2,20.1423975,"01000",6.8,"Beer",44.9748,0
1960,"Alaska",226167,236,23,47,NA,64,102,0,NA,NA,NA,NA,NA,NA,0
1961,"Alaska",234000,208,27,31,NA,29,121,0,NA,NA,NA,NA,NA,NA,0
1962,"Alaska",246000,225,11,46,NA,34,134,0,NA,NA,NA,NA,NA,NA,0
1963,"Alaska",248000,272,16,37,NA,55,164,0,NA,NA,NA,NA,NA,NA,0
1964,"Alaska",250000,375,26,56,NA,53,240,0,NA,NA,NA,NA,NA,NA,0
1965,"Alaska",253000,377,16,45,NA,101,215,0,NA,NA,NA,NA,NA,NA,0
1966,"Alaska",272000,409,35,53,NA,98,223,0,NA,NA,NA,NA,NA,NA,0
1967,"Alaska",272000,437,26,48,NA,96,267,0,NA,NA,NA,NA,NA,NA,0
1968,"Alaska",277000,486,29,60,NA,146,251,0,NA,NA,NA,NA,NA,NA,0
1969,"Alaska",282000,624,30,83,NA,190,321,0,NA,NA,NA,NA,NA,NA,0
