Series ID,Year,Period,Label,Value
LASST010000000000005,1980,M01,1980 Jan,1545102
LASST010000000000005,1980,M02,1980 Feb,1541785
LASST010000000000005,1980,M03,1980 Mar,1536128
LASST010000000000005,1980,M04,1980 Apr,1528732
LASST010000000000005,1980,M05,1980 May,1520782
LASST010000000000005,1980,M06,1980 Jun,1513892
LASST010000000000005,1980,M07,1980 Jul,1509355
LASST010000000000005,1980,M08,1980 Aug,1507746
LASST010000000000005,1980,M09,1980 Sep,1508703
LASST010000000000005,1980,M10,1980 Oct,1511190
LASST010000000000005,1980,M11,1980 Nov,1514019
LASST010000000000005,1980,M12,1980 Dec,1516136
LASST010000000000005,1981,M01,1981 Jan,1516568
LASST010000000000005,1981,M02,1981 Feb,1515111
LASST010000000000005,1981,M03,1981 Mar,1512350
LASST010000000000005,1981,M04,1981 Apr,1508922
LASST010000000000005,1981,M05,1981 May,1505327
LASST010000000000005,1981,M06,1981 Jun,1501932
LASST010000000000005,1981,M07,1981 Jul,1498870
LASST010000000000005,1981,M08,1981 Aug,1495841
LASST010000000000005,1981,M09,1981 Sep,1492621
LASST010000000000005,1981,M10,1981 Oct,1489212
LASST010000000000005,1981,M11,1981 Nov,1485690
LASST010000000000005,1981,M12,1981 Dec,1482607
LASST010000000000005,1982,M01,1982 Jan,1480603
LASST010000000000005,1982,M02,1982 Feb,1479601
LASST010000000000005,1982,M03,1982 Mar,1478951
LASST010000000000005,1982,M04,1982 Apr,1478289
LASST010000000000005,1982,M05,1982 May,1477288
LASST010000000000005,1982,M06,1982 Jun,1475716
LASST010000000000005,1982,M07,1982 Jul,1473584
LASST010000000000005,1982,M08,1982 Aug,1471357
LASST010000000000005,1982,M09,1982 Sep,1469558
LASST010000000000005,1982,M10,1982 Oct,1468440
LASST010000000000005,1982,M11,1982 Nov,1468381
LASST010000000000005,1982,M12,1982 Dec,1469436
LASST010000000000005,1983,M01,1983 Jan,1471782
LASST010000000000005,1983,M02,1983 Feb,1476061
LASST010000000000005,1983,M03,1983 Mar,1482610
