Series ID;Year;excl;Value
Alabama;1980;1521130,833;1521130.83333333
Alabama;1981;1500420,917;1500420.91666667
Alabama;1982;1474267;1474267
Alabama;1983;1514302,333;1514302.33333333
Alabama;1984;1591387,417;1591387.41666667
Alabama;1985;1637886,583;1637886.58333333
Alabama;1986;1680463,5;1680463.5
Alabama;1987;1718154,75;1718154.75
Alabama;1988;1742445,167;1742445.16666667
Alabama;1989;1762935,083;1762935.08333333
Alabama;1990;1777608,167;1777608.16666667
Alabama;1991;1779884,833;1779884.83333333
Alabama;1992;1816349,917;1816349.91666667
Alabama;1993;1856783,333;1856783.33333333
Alabama;1994;1900762,833;1900762.83333333
Alabama;1995;1944018,5;1944018.5
Alabama;1996;1977535,417;1977535.41666667
Alabama;1997;2027146,583;2027146.58333333
Alabama;1998;2042829,917;2042829.91666667
Alabama;1999;2038989,583;2038989.58333333
Alabama;2000;2035565,917;2035565.91666667
Alabama;2001;2006601,917;2006601.91666667
Alabama;2002;1982366,833;1982366.83333333
Alabama;2003;1992559,833;1992559.83333333
Alabama;2004;2014613;2014613
Alabama;2005;2049860,333;2049860.33333333
Alabama;2006;2080321,833;2080321.83333333
Alabama;2007;2089058,5;2089058.5
Alabama;2008;2053103,5;2053103.5
Alabama;2009;1925771,833;1925771.83333333
Alabama;2010;1964694,333;1964694.33333333
Alabama;2011;1990569,917;1990569.91666667
Alabama;2012;2004116,75;2004116.75
Alabama;2013;2017267,083;2017267.08333333
Alabama;2014;2014239,75;2014239.75
Alabama;2015;2027212,167;2027212.16666667
Alabama;2016;2049971,333;2049971.33333333
Alabama;2017;2081691,667;2081691.66666667
Alabama;2018;2111834,333;2111834.33333333
Alabama;2019;2130836,25;2130836.25
Alaska;1980;169401,5;169401.5
Alaska;1981;177704,0833;177704.083333333
Alaska;1982;191722,25;191722.25
Alaska;1983;208694,1667;208694.166666667
Alaska;1984;221308,8333;221308.833333333
Alaska;1985;227742,5833;227742.583333333
Alaska;1986;227199,5833;227199.583333333
Alaska;1987;223081,25;223081.25
Alaska;1988;226976,9167;226976.916666667
Alaska;1989;237792,25;237792.25
Alaska;1990;248939,3333;248939.333333333
Alaska;1991;253044,75;253044.75
Alaska;1992;261585,6667;261585.666666667
Alaska;1993;272681,5;272681.5
Alaska;1994;279464,3333;279464.333333333
Alaska;1995;281879,3333;281879.333333333
Alaska;1996;286280,5833;286280.583333333
Alaska;1997;290890,8333;290890.833333333
Alaska;1998;295780,1667;295780.166666667
Alaska;1999;297364,3333;297364.333333333
Alaska;2000;299145,0833;299145.083333333
Alaska;2001;300772,1667;300772.166666667
Alaska;2002;302565,8333;302565.833333333
Alaska;2003;305724,4167;305724.416666667
Alaska;2004;311637,1667;311637.166666667
Alaska;2005;320810,75;320810.75
Alaska;2006;326532,1667;326532.166666667
Alaska;2007;328597,5;328597.5
Alaska;2008;332262,5;332262.5
Alaska;2009;331793,5;331793.5
Alaska;2010;333426,3333;333426.333333333
Alaska;2011;338139,8333;338139.833333333
Alaska;2012;339463,6667;339463.666666667
Alaska;2013;339868,3333;339868.333333333
